步骤,损失,准确率,步骤准确率
0,29.244764,1.666666753590107,0.016666668
1,28.170307,3.333333507180214,0.033333335
2,26.321045,3.452381119132042,0.03452381
3,27.664207,3.095238097012043,0.030952381
4,25.22326,2.976190485060215,0.029761905
5,25.091263,3.095238097012043,0.030952381
6,25.343449,2.380952425301075,0.023809524
7,25.39278,2.023809589445591,0.020238096
8,25.271654,3.690476343035698,0.036904763
9,25.311344,3.095238097012043,0.030952381
10,25.185974,3.095238097012043,0.030952381
11,25.216873,3.333333507180214,0.033333335
12,25.086535,3.57142873108387,0.035714287
13,24.856174,3.095238097012043,0.030952381
14,24.98906,2.857142873108387,0.028571429
15,24.806976,2.619047649204731,0.026190476
16,24.899637,3.809523954987526,0.03809524
17,24.666286,2.857142873108387,0.028571429
18,24.586464,3.57142873108387,0.035714287
19,24.664923,2.857142873108387,0.028571429
20,24.624653,3.095238097012043,0.030952381
21,24.650942,3.809523954987526,0.03809524
22,24.670908,2.380952425301075,0.023809524
23,24.53553,2.619047649204731,0.026190476
24,24.447563,3.928571566939354,0.039285716
25,24.519054,3.452381119132042,0.03452381
26,24.489023,2.857142873108387,0.028571429
27,24.412178,3.809523954987526,0.03809524
28,24.54977,3.452381119132042,0.03452381
29,24.505383,3.57142873108387,0.035714287
30,24.497322,2.142857201397419,0.021428572
31,24.437843,2.976190485060215,0.029761905
32,24.44053,3.452381119132042,0.03452381
33,24.487408,4.16666679084301,0.041666668
34,24.362925,4.642857238650322,0.046428572
35,24.372501,2.500000037252903,0.025
36,24.486692,2.738095261156559,0.027380953
37,24.449986,2.976190485060215,0.029761905
38,24.394018,2.738095261156559,0.027380953
39,24.372288,3.095238097012043,0.030952381
40,24.383972,2.500000037252903,0.025
41,24.36625,2.976190485060215,0.029761905
42,24.403502,3.214285895228386,0.03214286
43,24.406195,3.214285895228386,0.03214286
44,24.341892,2.500000037252903,0.025
45,24.368385,2.500000037252903,0.025
46,24.328175,2.976190485060215,0.029761905
47,24.418087,3.333333507180214,0.033333335
48,24.34269,3.928571566939354,0.039285716
49,24.357294,2.738095261156559,0.027380953
50,24.364363,3.57142873108387,0.035714287
51,24.373745,2.857142873108387,0.028571429
52,24.363626,3.452381119132042,0.03452381
53,24.392635,2.976190485060215,0.029761905
54,24.370487,3.928571566939354,0.039285716
55,24.421581,4.880952462553978,0.048809525
56,24.392365,3.928571566939354,0.039285716
57,24.270294,3.57142873108387,0.035714287
58,24.414274,2.261904813349247,0.022619048
59,24.355621,2.619047649204731,0.026190476
60,24.370108,2.500000037252903,0.025
61,24.355452,3.452381119132042,0.03452381
62,24.376667,3.452381119132042,0.03452381
63,24.460135,2.142857201397419,0.021428572
64,24.439077,2.380952425301075,0.023809524
65,24.3083,3.333333507180214,0.033333335
66,24.421694,2.261904813349247,0.022619048
67,24.383722,3.928571566939354,0.039285716
68,24.372635,2.976190485060215,0.029761905
69,24.274374,3.333333507180214,0.033333335
70,24.43713,3.214285895228386,0.03214286
71,24.376234,3.57142873108387,0.035714287
72,24.384935,3.214285895228386,0.03214286
73,24.371113,2.976190485060215,0.029761905
74,24.352581,2.738095261156559,0.027380953
75,24.380573,3.095238097012043,0.030952381
76,24.325705,3.095238097012043,0.030952381
77,24.34957,3.690476343035698,0.036904763
78,24.322119,2.500000037252903,0.025
79,24.448427,3.214285895228386,0.03214286
80,24.349127,3.333333507180214,0.033333335
81,24.318365,2.857142873108387,0.028571429
82,24.370115,3.095238097012043,0.030952381
83,24.357084,4.404762014746666,0.04404762
84,24.418629,2.619047649204731,0.026190476
85,24.32548,3.57142873108387,0.035714287
86,24.409863,2.380952425301075,0.023809524
87,24.391188,2.261904813349247,0.022619048
88,24.32495,4.285714402794838,0.042857144
89,24.380142,3.214285895228386,0.03214286
90,24.29072,4.404762014746666,0.04404762
91,24.39041,3.333333507180214,0.033333335
92,24.423954,3.095238097012043,0.030952381
93,24.346764,2.857142873108387,0.028571429
94,24.42084,2.619047649204731,0.026190476
95,24.277172,3.452381119132042,0.03452381
96,24.34577,3.333333507180214,0.033333335
97,24.340946,3.095238097012043,0.030952381
98,24.309954,2.857142873108387,0.028571429
99,24.245016,3.333333507180214,0.033333335
100,24.329165,3.57142873108387,0.035714287
101,24.366169,2.976190485060215,0.029761905
102,24.275248,3.452381119132042,0.03452381
103,24.377378,4.047619178891182,0.04047619
104,24.302309,3.690476343035698,0.036904763
105,24.28763,3.928571566939354,0.039285716
106,24.314835,3.57142873108387,0.035714287
107,24.25424,2.261904813349247,0.022619048
108,24.387669,2.738095261156559,0.027380953
109,24.276173,3.214285895228386,0.03214286
110,24.228489,3.690476343035698,0.036904763
111,24.31173,4.404762014746666,0.04404762
112,24.319574,5.119047686457634,0.051190477
113,24.292646,3.690476343035698,0.036904763
114,24.358387,3.452381119132042,0.03452381
115,24.260775,4.404762014746666,0.04404762
116,24.317616,2.738095261156559,0.027380953
117,24.35351,3.095238097012043,0.030952381
118,24.331005,4.285714402794838,0.042857144
119,24.29141,3.452381119132042,0.03452381
120,24.325262,3.809523954987526,0.03809524
121,24.252005,3.095238097012043,0.030952381
122,24.27976,4.285714402794838,0.042857144
123,24.193846,4.642857238650322,0.046428572
124,24.196323,3.452381119132042,0.03452381
125,24.308758,3.57142873108387,0.035714287
126,24.124336,5.595238134264946,0.05595238
127,24.215649,6.071428582072258,0.060714286
128,24.141373,5.833333358168602,0.058333334
129,24.115368,5.238095298409462,0.052380953
130,24.119137,4.16666679084301,0.041666668
131,24.141983,5.238095298409462,0.052380953
132,23.965364,5.119047686457634,0.051190477
133,23.974241,6.071428582072258,0.060714286
134,23.92131,6.190476194024086,0.061904762
135,23.96857,5.833333358168602,0.058333334
136,23.936634,4.16666679084301,0.041666668
137,23.981607,5.714285746216774,0.057142857
138,23.854368,5.95238097012043,0.05952381
139,23.824015,7.73809552192688,0.077380955
140,23.70031,8.809524029493332,0.08809524
141,23.837288,7.14285746216774,0.071428575
142,23.64885,8.809524029493332,0.08809524
143,23.752392,8.095238357782364,0.08095238
144,23.413572,9.285714477300644,0.092857145
145,23.49917,10.595238208770752,0.10595238
146,23.285954,10.476190596818924,0.104761906
147,23.888184,7.380952686071396,0.07380953
148,24.076143,6.904762238264084,0.06904762
149,23.983305,6.309524178504944,0.06309524
150,23.727856,8.33333358168602,0.083333336
151,23.53754,9.285714477300644,0.092857145
152,23.60932,9.285714477300644,0.092857145
153,23.397707,8.33333358168602,0.083333336
154,23.102016,10.11904776096344,0.10119048
155,23.187893,9.404762089252472,0.09404762
156,23.250776,10.000000149011612,0.1
157,22.954735,11.666666716337204,0.11666667
158,22.837414,12.142857164144516,0.12142857
159,22.88507,12.380952388048172,0.123809524
160,22.548483,13.333334028720856,0.13333334
161,22.422861,15.357142686843872,0.15357143
162,22.615368,12.142857164144516,0.12142857
163,21.956522,15.119047462940216,0.15119047
164,21.425068,16.904762387275696,0.16904762
165,21.523918,15.952381491661072,0.15952381
166,21.425014,16.785714030265808,0.16785714
167,21.54797,15.714286267757416,0.15714286
168,20.729717,18.690475821495056,0.18690476
169,20.684439,19.166666269302368,0.19166666
170,20.41653,19.64285671710968,0.19642857
171,20.50579,19.285714626312256,0.19285715
172,21.76146,15.238095819950104,0.15238096
173,21.587168,15.47619104385376,0.15476191
174,21.292267,15.47619104385376,0.15476191
175,20.834913,17.499999701976776,0.175
176,20.402157,18.928571045398712,0.18928571
177,20.327143,18.571428954601288,0.18571429
178,20.365465,19.64285671710968,0.19642857
179,19.849972,21.666666865348816,0.21666667
180,19.648134,22.02380895614624,0.22023809
181,19.610956,21.42857164144516,0.21428572
182,19.714138,20.952381193637848,0.20952381
183,19.272263,24.4047611951828,0.24404761
184,19.952614,23.452380299568176,0.2345238
185,19.629824,21.190476417541504,0.21190476
186,19.326977,22.976189851760864,0.2297619
187,19.411526,23.452380299568176,0.2345238
188,19.492306,21.904762089252472,0.21904762
189,19.300915,23.80952388048172,0.23809524
190,19.215672,22.73809462785721,0.22738095
191,18.980835,24.047619104385376,0.24047619
192,18.657814,25.714287161827087,0.25714287
193,18.518303,24.642856419086456,0.24642856
194,17.75246,29.404762387275696,0.29404762
195,18.377718,26.428571343421936,0.2642857
196,18.57212,24.523809552192688,0.2452381
197,18.242546,26.30952298641205,0.26309523
198,18.185537,25.714287161827087,0.25714287
199,17.95592,28.333333134651184,0.28333333
200,17.598314,28.095239400863647,0.2809524
201,17.969492,27.023810148239136,0.2702381
202,17.844387,27.619048953056335,0.2761905
203,17.33571,28.69047522544861,0.28690475
204,18.249865,27.97619104385376,0.2797619
205,17.233624,29.404762387275696,0.29404762
206,17.229519,30.95238208770752,0.30952382
207,16.823689,31.07142746448517,0.31071427
208,16.715094,32.02380836009979,0.32023808
209,17.317112,28.69047522544861,0.28690475
210,16.708614,32.02380836009979,0.32023808
211,16.802284,29.523810744285583,0.2952381
212,16.23327,32.02380836009979,0.32023808
213,16.362339,33.33333432674408,0.33333334
214,16.414139,33.33333432674408,0.33333334
215,17.14365,30.35714328289032,0.30357143
216,16.343878,32.02380836009979,0.32023808
217,16.104832,34.64285731315613,0.34642857
218,16.490353,33.21428596973419,0.33214286
219,17.212746,29.285714030265808,0.29285714
220,16.115467,36.42857074737549,0.3642857
221,16.048828,35.35714149475098,0.35357141
222,16.278847,32.85714387893677,0.32857144
223,15.699562,37.5,0.375
224,16.220364,34.166666865348816,0.34166667
225,15.131462,36.78571283817291,0.36785713
226,15.5825405,35.952380299568176,0.3595238
227,16.29844,35.71428656578064,0.35714287
228,15.20812,37.738096714019775,0.37738097
229,15.118163,37.02380955219269,0.3702381
230,15.963145,34.761905670166016,0.34761906
231,15.642872,35.23809611797333,0.35238096
232,14.586854,38.80952298641205,0.38809523
233,14.961681,37.97619044780731,0.3797619
234,15.536325,38.333332538604736,0.38333333
235,15.042832,37.261903285980225,0.37261903
236,15.627762,37.142857909202576,0.37142858
237,14.888275,41.309523582458496,0.41309524
238,15.3286,35.23809611797333,0.35238096
239,14.996756,37.02380955219269,0.3702381
240,14.084583,40.00000059604645,0.4
241,14.329768,40.59523940086365,0.4059524
242,14.406181,39.40476179122925,0.39404762
243,14.888927,38.21428716182709,0.38214287
244,14.338609,41.54762029647827,0.4154762
245,14.3676,39.047619700431824,0.3904762
246,13.666951,44.285714626312256,0.44285715
247,14.1421795,41.19047522544861,0.41190475
248,14.185905,38.928571343421936,0.3892857
249,14.50787,40.47619104385376,0.4047619
250,13.385447,45.83333432674408,0.45833334
251,14.032007,41.309523582458496,0.41309524
252,12.971862,46.30952477455139,0.46309525
253,14.721299,40.00000059604645,0.4
254,14.16496,42.38095283508301,0.42380953
255,13.058257,46.30952477455139,0.46309525
256,13.595257,43.690475821495056,0.43690476
257,13.423508,45.595237612724304,0.45595238
258,13.878166,41.309523582458496,0.41309524
259,14.107318,40.35714268684387,0.40357143
260,14.44455,41.19047522544861,0.41190475
261,13.62396,44.404762983322144,0.44404763
262,13.828272,42.26190447807312,0.42261904
263,13.743877,42.97619163990021,0.42976192
